SpeciesLatinName,SpeciesCommonName,Order,n_samples,adult_mass_g,max_lifespan_y,TxEx2-,BivProm2+,BivProm2-,ReprPC1+,ReprPC1-,BivProm1+,BivProm1-,EnhWk4-,TxEx1-,PromF5+,PromF5-,TxEnh4-,TxEx3-,EnhA17-,BivProm4+,BivProm4-,Tx7-,PromF4+,PromF4-,TxEnh5-,TxWk2-,BivProm3+,BivProm3-,EnhA2-,TxWk1-,TSS1+,TSS1-,EnhWk8-,EnhA6-,EnhWk3-,Tx6-,Tx5-,TSS2+,TSS2-,Tx8-,ReprPC4-,Quies3-,ReprPC2+,ReprPC2-,ReprPC6-,ReprPC3-,EnhA18-,PromF3+,PromF3-,TxEx4-,ReprPC5-,TxEnh8-,ReprPC7-,EnhA19-,Tx4-,PromF2+,Quies1-,Acet2-,PromF1+
Acinonyx jubatus,Cheetah,Carnivora,14,53500.0,20.5,1.294384776443741,2.205977293554268,2.1645082197381336,2.2138170411292304,2.1879698080364456,2.0068371519310624,1.5214621863472504,0.5303691132762135,1.5286277723792085,0.7368262796263583,0.40929914827058866,0.9132671536977309,1.0446759083994515,0.7112791064131364,0.540752564992274,1.4040372036816595,0.6277796071683637,0.6278440216287231,0.3918268105229732,0.6482232933739672,1.0721562322458886,1.4836007504135293,0.2294984079821762,1.326115359528514,0.3835393077795096,0.5981821880875361,0.9154861571881087,0.8876021030176382,0.8028435848150525,1.2699670565334455,0.018547840206540437,1.075700033108236,0.3857906081028712,0.48548765604390576,1.015353669486218,0.2495910901360902,0.2855363004107243,1.5867778020203143,0.1634336431748523,0.6292644052810499,0.5372198051865786,0.586810457264515,0.23489159081167046,1.8733116902737696,1.218504104082219,1.0874336895691932,1.6844420908774538,0.6803736257729922,1.7928273652141105,1.8503483234344633,1.9515521221752155,0.722697390870878,0.7344019363763341,0.470947151917622
Acomys cahirinus,Spiny mouse,Rodentia,107,45.2,5.9,1.1719686711387163,2.2956999927336788,1.7513781144620753,1.6069182850053705,0.6038589795846699,2.4500390266329397,2.1653391172887484,0.7791810325116056,1.2212365917544814,1.1033107025794402,1.3289918711755744,0.4357053217311643,0.8304734263378397,0.17828375039133548,0.79061577056312,0.4956368332751864,0.884344377759976,0.38776131924797524,0.9398936239576157,0.48485449056578944,0.6552722660531328,1.6997475062022218,0.462688981958387,0.9035395273445378,0.6538716891274271,0.8894589202586896,0.9952211622207274,0.9065466629851567,0.543899006679961,0.5005717343576284,0.7582419458784141,0.8344899049985046,1.958717276358312,2.2225153413246717,0.4862705665612642,0.8797492297472311,0.8103938838057473,1.3588304166713414,0.5730920629918771,0.9527637199453663,1.043458882541729,0.5621686855586604,0.5145621479027603,1.2005284503450009,2.1595522235959175,0.48408740629378477,0.4683390448601006,0.8707243262178495,1.099973727825946,1.2777104049776244,0.9661132994798625,1.3512590541662546,0.2776644217776158,0.7724848202889999
Antrozous pallidus,Pallid bat,Chiroptera,23,20.8,14.8,0.3676343063040797,2.367057296059734,2.1856144382778666,1.5619289771525333,1.0810214137885175,1.9543304384441749,2.3534434541133935,1.2436463002301599,0.0025278422268979243,2.3109305878664306,1.3981628699657846,0.6942634232913893,0.39960496543721724,0.30912367547720687,0.6707061250898407,0.927651423506261,0.634154322736741,0.048566307294287625,0.6965622849102644,0.33441897331659964,1.4940821344332142,1.6210316144240084,0.09530197131539453,0.559346135219899,0.2176982305416653,1.3792271039462907,0.8144235701128034,1.5227963172146648,1.3782667565629725,0.39978670123125726,0.531213735669277,1.0749761125512116,2.283218008707767,1.751760664998059,0.28349728117505796,1.846119193571299,0.9285844492296418,1.323112174251889,1.0367873798679987,0.8231226432211699,0.5744526681247732,1.1705067834573784,0.6547915997576211,0.5720461381379024,0.4859100338098153,0.4767423547457536,0.9872046622488897,0.9593204978330848,1.6243937387265617,0.051942894294998855,0.35720781046576844,1.8278671086067408,1.3386999831143624,0.013212122941423002
Aonyx cinereus,Asian small-clawed otter,Carnivora,12,3000.0,23.0,1.5543994550081581,2.549661149739788,1.4656783886823508,2.4715491405090764,2.080145843210716,2.372884521949506,1.476880854478172,0.06047185990110534,1.5945212136114197,1.377063175836752,0.8354806093675738,1.5428714140998003,1.0430226199235042,0.19845315728938565,1.4083705059321392,0.0012304794200693457,1.6863434435922935,1.2880617515026214,0.7793490890587372,0.727675592435094,0.03381979815529938,1.324431220150136,0.5312415104330264,0.9612819859284119,1.1293949806647137,0.9583486160090096,0.3688031306914077,0.05065810946570879,0.4390011418601428,0.103867827299528,1.7589878197209712,0.7535879836988991,0.5429321534836015,0.4587558726569727,1.03218958265399,0.08270700007020414,0.8434947190552559,2.042690207086316,0.7091093537472778,0.2101566238150182,0.5635340829502048,0.47155610516592766,1.1551301041329243,0.3734547505709396,0.785576501095731,0.10363060497316119,0.9957150021824729,1.041598221329781,0.9137540484452081,1.7344636294431248,1.6421600167353259,0.8580161083381826,0.8952843087996388,1.6165526136432247
Apodemus sylvaticus,Long-tailed field mouse,Rodentia,90,23.4,6.3,0.6127213462240969,2.000055720797211,2.5312511726088562,1.5421618721649566,1.3560317239485948,2.50171189818402,1.6137108321882239,0.4794216098659103,0.8457322892785852,2.626194052544719,1.3829885368118116,0.7279358614322369,0.39408843425193335,1.070233577241915,2.187170511152733,0.601329934185012,0.7836984856533667,1.0469644350525036,0.10840213351122203,0.5941521134115111,0.5897137396710189,1.926057462864126,1.5384511696744037,0.3536594178858681,0.4785075605169525,0.21582742192137144,0.19539452064603602,0.595385827859288,0.8212825458585148,0.8059822454915727,0.6972789566377076,0.39905574646957415,2.5530425645538077,0.6698177474539725,0.4697189753329411,0.31921895570489245,0.5951170209587682,1.1356376660165923,1.322375114998579,0.9482628852436663,0.7571871682998428,0.781960555657771,1.1062536324334553,0.24365327920524266,0.9590933427715629,1.174947965266704,0.5569812912504416,0.9253853880515788,1.2745169363353992,0.6431099474060084,1.9718909112076681,0.93578701050809,0.7482479269193423,0.2852405584178215
Balaena mysticetus,Bowhead whale,Artiodactyla,79,100000000.0,211.0,0.235307334811837,1.3949449647000884,0.04869680158831278,0.379666140545595,0.394258506919238,1.8671186910111894,0.6603373277676056,0.5997611168093265,0.8020002061650203,1.3130882194469131,0.15792153222092592,2.110112207105707,0.9983945639804758,0.5856540023850891,1.8352301710810985,0.22258804470568386,1.5536990792283438,2.7809304529907104,1.6376948255542947,1.0381788610988907,0.577148712817585,1.9987920788342601,1.4535895248208182,1.0165508093068691,1.1334869850143605,2.7061848102541055,0.876157857530614,0.7020042452527854,0.2622458357239067,1.079467383118703,1.6754759846601999,0.6505145782217691,0.2615597834113262,0.14806715615004137,1.1488228554354347,1.3270632135949145,1.0750258213110693,1.5457707398189648,0.08243725105612788,0.8560394576768321,1.2190928770297391,0.35495272473897593,0.5289126479432855,0.8246848458885284,1.8313215817192452,0.41929267931717273,0.2942017257665261,1.6768892599096834,1.3148117714924303,1.4150925582692992,0.826773132237706,0.7944569992322614,0.3613970502807166,0.9461320120473979
Bos taurus,Cattle,Artiodactyla,452,750000.0,38.0,0.7860208363194637,1.3297573287540736,0.7378485621839859,0.9080852803740103,0.426554126612341,1.4593602126507683,1.1545080358225577,1.0356904179730386,0.9578340669592744,0.5270242385819004,1.106308085753581,1.108374125211363,1.122275275211878,1.0267765338888368,0.13021664705428893,0.8984062769865718,0.8407695412826661,1.0203822936490123,0.8723471107080554,1.263141091328992,1.213423741490828,1.3475191648991145,1.066266415134334,1.5313672960745335,1.1182029912773606,0.6319533434865197,1.0018916388960033,1.0439067972706735,1.189960030262888,1.4396296951680763,0.8662361489345525,1.1503740624871992,0.564733386899576,0.5250287663933909,1.0295969403689293,1.3578984960740497,1.1783109976348993,0.9482751781186982,1.0534951121415592,0.952343497378035,1.1007445944925955,1.1003560434875246,0.8184527108118335,0.4184209834031753,1.0772554644578893,0.8299178946221639,1.2811490871529843,1.041240693365396,1.4147555308936226,0.9989571581592405,0.394148857769,1.1198286955238184,1.3044553770295635,1.1782231211333158
Callithrix jacchus,Common marmoset,Primates,95,255.2,22.8,0.6626742463121454,2.8770254367262424,2.544113686540486,2.6405473617696127,2.3188942356138935,2.502889756382726,1.4881867353529048,0.6513858763504059,0.556480687740997,2.2453804049976953,2.1750102228688113,0.5639207669684214,0.2862014064205563,0.0044934993576223395,1.3386759221802824,0.3793306915637463,0.07965975069566382,0.0449765184892006,0.6051256527411276,0.618629170059232,0.47374143959819276,2.7165098372980716,1.4046798004774093,0.7279340249589872,0.43288744807610036,0.7682785500610286,0.4674036633552279,0.5983137907017213,0.5070056467192171,0.7838222335278681,0.11021326333087764,0.5324956970783633,1.6726225483266568,1.4148684882416236,0.35696247892065275,0.6123321033733092,0.6667187175084014,2.624693377129782,0.523930397540734,0.6096348913802816,0.5660162462813921,0.4537530616504139,1.1276247366176875,0.5410805069187239,2.1396448289432715,0.7869934002779904,1.0538084817492277,0.07116860486834055,0.3413430110316372,0.2808660520600089,1.3993407915750817,0.7861787723393246,0.5165418604563459,1.3469892184942756
Canis lupus familiaris,Dog,Carnivora,742,26625.0,24.0,1.0807711737940977,2.1735383365830794,1.627799466825864,2.0524196568165918,1.7879142644357386,1.8876274331418963,1.200035492360027,1.188389789136334,1.115473184433992,1.2526509461661413,0.9244623328077082,1.2654102775840759,1.2269753103605534,1.1669912691456512,0.31903444268632564,0.05659210237232675,0.6893873412919287,0.11716823340893917,0.061510165402389336,1.4309359800291523,1.2716979151863699,1.9360203609748234,0.6488545382835013,1.4000091355570607,1.0990126480171638,0.4098074864485286,0.17138011112744456,1.3341608226450012,1.106408879328192,1.2845650761302634,0.446822969041221,1.1150298293329883,0.5525794426143872,0.6910137089510763,1.144361954752554,1.2274341007364422,1.1799444511396466,1.963572910187641,0.657517537684297,0.8539439281608517,0.708026471218006,0.359923275356228,0.5554194759832114,0.0004954391419803648,1.6019147740095803,0.3815107716256393,1.3891293263252096,0.7879163646807029,0.4451976654892375,0.667783631690781,0.5427329958589718,1.2459545998767447,1.2141011240209745,0.9806690796404794
Capra hircus,Domestic goat,Artiodactyla,78,61000.0,20.8,1.0660227132018691,2.2502146906121983,1.398475581880823,1.7002297724769733,1.8673942863789592,2.5079781968250616,1.7168353980852247,0.8592698877720583,2.1614716405282643,1.5446928332186352,0.9196629830812321,1.807839495205439,0.7520059514600369,0.5018206294281682,1.0284055647281334,0.2813402203686042,0.8754310592061381,0.9303630978433132,0.43871154490854497,1.2419131733879183,0.22988434954727416,2.273731172354367,0.9355916911712127,1.1181623412046873,0.011529270945005088,0.5116689001550423,1.0402667026390704,1.2272481143788172,0.874866953528308,0.22978902803474602,0.8728395704565096,1.1713731936975984,0.9930761325550731,1.1303020462824573,0.3570717832952537,0.5107277532011015,0.3669440819216779,1.2272099733803052,0.28411538079912535,0.6440955314199878,0.4007708640981219,0.23323356143996504,1.1740948761724481,0.7416427385235611,1.7263880063601886,0.8919507049030397,1.529070267834623,0.8129578464795383,0.41229908159556455,1.1821343464507996,1.210894998602104,0.41749844949954334,0.34227661576624885,1.0642149507090328
