state,family,mean_contrast,cv_across_species,min,max
PromF4+,PromF,0.7434964702397543,0.6885862444974865,0.001746760422899443,2.7809304529907104
PromF3-,PromF,0.8198383827719643,0.6754458715262202,0.0004954391419803648,3.9569420691350152
PromF4-,PromF,0.7147758656460305,0.6685056350200878,0.027024470334442014,2.3466143943400226
PromF3+,PromF,0.8274793460657135,0.6503984745572633,0.0037758982446008064,2.6729671184555617
PromF1+,PromF,0.8145465016847364,0.6273919456255986,0.013212122941423002,2.06395714997939
PromF2+,PromF,0.7860163790196087,0.6098718133900664,0.013496339207807262,2.4073738458609055
TSS1+,TSS,0.8490069449124534,0.6094386109914242,0.01631579261337574,2.7061848102541055
TSS1-,TSS,0.7731889804464316,0.5990614110550995,0.008759296196885749,2.3161163285646795
Tx6-,Tx,0.764536440153423,0.5912434212567491,0.018547840206540437,2.2909845880390285
BivProm4+,BivProm,0.9979840094616698,0.5564360152081748,0.021468731128110555,2.187170511152733
Tx7-,Tx,0.767255590911873,0.5521246234090657,0.03838016176377062,2.0834953051413616
BivProm4-,BivProm,0.8018699565529495,0.5497186676636682,0.0012304794200693457,2.3368700628942736
ReprPC2-,ReprPC,0.7851083533781692,0.5476370996764574,0.014756727796580988,1.8843975730517113
BivProm3-,BivProm,0.8437734886666424,0.5297844224406366,0.04679128997895682,1.978236085391749
TSS2-,TSS,0.9897474596597087,0.5188170433285912,0.044871717516328825,2.844371675864701
Tx4-,Tx,0.858336279091086,0.5168088580841017,0.0040329389411371324,1.9460674648274137
ReprPC1-,ReprPC,1.134200420181138,0.507274960324787,0.008422294797377158,2.4693321849041543
TxEx1-,TxEx,0.8786496087911577,0.49637891068281187,0.0009119463291232052,2.1614716405282643
EnhA18-,EnhA,0.8882538845160796,0.49403627433211916,0.005746214920315476,2.0967779574823564
TSS2+,TSS,1.1220885800292695,0.4931523281069979,0.033201073931225636,2.5996934968849006
TxEx4-,TxEx,1.0067818600185423,0.48683906329784443,0.0558926098585739,3.0594559241638253
ReprPC5-,ReprPC,0.788695735694768,0.4833193508871815,0.0566490041325677,1.7984295308109766
ReprPC7-,ReprPC,0.8744296851460905,0.48309581519270794,0.001108273414064668,2.0723452718156916
TxWk1-,TxWk,0.8258599840998558,0.4827676653721046,0.011529270945005088,1.5726020937131566
EnhA19-,EnhA,1.0529713862166217,0.48137696701773397,0.03582357286997144,2.7297597622372267
TxEx3-,TxEx,0.8560233417876559,0.46688979209232645,0.044834922078803165,1.7981485069957241
PromF5-,PromF,1.1071527571869328,0.4609367500550628,0.034116886086480114,2.3066169095025524
Tx5-,Tx,0.8344717010742841,0.45754367774001525,0.0008602239183517647,1.5329474103667418
TxEnh8-,TxEnh,1.0181164943326582,0.45557263117944047,0.09247462649114088,2.6148658356417815
PromF5+,PromF,1.2691804748037385,0.4539716939075709,0.03499260548018871,2.682414593862991
BivProm1-,BivProm,1.2496273936003628,0.45204477218940686,0.0023665229931109405,2.505734913476248
TxEx2-,TxEx,0.8652016706326426,0.4437335032600678,0.015325205887729905,1.6673195556536857
Acet2-,Acet,1.0782091084601633,0.4421955175771755,0.0653073789052025,2.317599293862401
Tx8-,Tx,0.9019412409117035,0.43775354941511807,0.054942609471821904,1.9910747530778572
ReprPC6-,ReprPC,1.066792142095017,0.43639666166171953,0.12679659490798265,2.959307195372521
EnhA17-,EnhA,0.930356080300763,0.42878187506357307,0.001427437716924796,1.9410761853001472
BivProm3+,BivProm,1.337592342696876,0.4243808036731935,0.05409509404386787,2.7785784202495845
TxEnh4-,TxEnh,0.9120208541665,0.4219287541372765,0.012817953952537625,2.110112207105707
ReprPC2+,ReprPC,1.1826859915325436,0.41954187357715467,0.004529328588449753,2.624693377129782
TxEnh5-,TxEnh,0.8923988587688243,0.41316363876338513,0.09339456704281132,1.7937758400758947
Quies1-,Quies,1.190999654415452,0.40563758191916205,0.1657456404903069,2.452205232774482
Quies3-,Quies,1.0016265259599435,0.4015921264873043,0.0505635964632193,2.0903189930012225
EnhA2-,EnhA,1.140226125417704,0.39884604458847267,0.09084804359879668,2.4365674305254217
BivProm2-,BivProm,1.3458449276578428,0.3984519484980191,0.04636144504640313,2.544113686540486
TxWk2-,TxWk,1.02618950626392,0.39691490852765426,0.03381979815529938,2.0359155492185477
EnhWk3-,EnhWk,1.0471201666134402,0.3936837675166052,0.03775703644554529,2.0307104663982236
EnhA6-,EnhA,1.0558090950380215,0.37987204855101697,0.017334180694254363,2.386194223517003
ReprPC4-,ReprPC,1.1065066040296043,0.3658663909323198,0.08270700007020414,2.117930761041243
BivProm1+,BivProm,1.540473097029391,0.3650481988076671,0.10590119726789363,2.8666795083518166
ReprPC3-,ReprPC,0.9914877383078332,0.36012760825083234,0.08845809085062686,1.813555782643683
ReprPC1+,ReprPC,1.4881299815997253,0.3562733943632414,0.05889262382588187,2.6405473617696127
EnhWk8-,EnhWk,1.1004862498206212,0.3558697883013686,0.029985488506830058,2.0784184089074884
EnhWk4-,EnhWk,1.0951165313612892,0.34477645394346434,0.020143921195893557,2.1533037561566064
BivProm2+,BivProm,1.6593217507788078,0.32291456030285004,0.47653429139775566,2.909982242391149
