SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,state,arocm,state_base,direction
Homo sapiens,Human,BoneMarrow,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.603265306,20,TxEx1-,-0.020421831,TxEx1,hypo
Homo sapiens,Human,Cerebellum,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,TxEx1-,-0.00063744,TxEx1,hypo
Homo sapiens,Human,Cortex,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.432653061,0.824489796,46,TxEx1-,-0.001714981,TxEx1,hypo
Homo sapiens,Human,Heart,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx1-,0.004153691,TxEx1,hypo
Homo sapiens,Human,Kidney,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx1-,0.016094013,TxEx1,hypo
Homo sapiens,Human,Liver,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.744489796,97,TxEx1-,-0.001004719,TxEx1,hypo
Homo sapiens,Human,Lung,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.696326531,113,TxEx1-,0.007382376,TxEx1,hypo
Homo sapiens,Human,LymphNode,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.312653061,0.633469388,27,TxEx1-,0.016472688,TxEx1,hypo
Homo sapiens,Human,Muscle,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.227755102,0.633469388,57,TxEx1-,-0.016583584,TxEx1,hypo
Homo sapiens,Human,Skin,1.1.1,Primates,62035.0,0.767123288,13.5,122.5,0.0,0.759183673,74,TxEx1-,0.018289448,TxEx1,hypo
Indriidae,Indriidae,Blood,1.2,Primates,4287.85125,0.403928082,3.835969178,26.47125,0.003866478,1.102719423,8,TxEx1-,-0.047505654,TxEx1,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Blood,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.970487805,17,TxEx1-,-0.056384977,TxEx1,hypo
Lagenorhynchus obliquidens,Pacific white-sided dolphin,Skin,4.13.4,Artiodactyla,103000.0,0.975342466,7.004794521,41.0,0.010550742,0.985232209,17,TxEx1-,-0.015111373,TxEx1,hypo
Lemur catta,Ring-tailed lemur,Blood,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,3,TxEx1-,0.002662356,TxEx1,hypo
Lemur catta,Ring-tailed lemur,Blood&Skin,1.3.12,Primates,2555.0,0.369863014,2.064383562,37.3,0.001608579,0.880428954,4,TxEx1-,-0.00731193,TxEx1,hypo
Lemuridae,Lemuridae,Blood,1.3,Primates,2328.465385,0.330593607,2.014365999,34.63358974,0.001748487,1.147881641,39,TxEx1-,-0.036774371,TxEx1,hypo
Lemuridae,Lemuridae,Skin,1.3,Primates,2315.703077,0.330874605,2.048050579,34.68692308,0.001741528,1.003991002,13,TxEx1-,-0.04847178,TxEx1,hypo
Leptonycteris yerbabuenae,Lesser long-nosed bat,Skin,8.4.4,Chiroptera,25.0,0.410958904,1.0,10.1,0.01980198,0.495049505,11,TxEx1-,-0.405690594,TxEx1,hypo
Litocranius walleri,Gerenuk,Blood,4.1.12,Artiodactyla,43500.0,0.55890411,0.983561644,17.3,0.052224899,0.427452889,7,TxEx1-,-0.26690766,TxEx1,hypo
Lorisidae,Lorisidae,Blood,1.5,Primates,599.4428571,0.499412916,1.132876712,23.65714286,0.028056112,0.888977956,7,TxEx1-,-0.069398582,TxEx1,hypo
Lorisidae,Lorisidae,Skin,1.5,Primates,515.9,0.494977169,1.117351598,22.46666667,0.431750742,0.860385757,3,TxEx1-,-0.173549003,TxEx1,hypo
Loxodonta africana,Savanna elephant,Blood,2.1.2,Proboscidea,4800000.0,1.835616438,10.50410959,65.0,0.018503688,0.745500527,57,TxEx1-,-0.006719048,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Adipose,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.558809524,1.0,5,TxEx1-,0.018449831,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Blood,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.042619048,1.0,199,TxEx1-,-0.039910431,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Cortex,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,TxEx1-,0.004569605,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Liver,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,TxEx1-,0.038009062,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Lung,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,6,TxEx1-,0.079512847,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Muscle,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.409047619,1.0,5,TxEx1-,0.020641814,TxEx1,hypo
Macaca mulatta,Rhesus macaque,Skin,1.4.2,Primates,8235.0,0.452054795,4.435616438,42.0,0.181190476,1.0,51,TxEx1-,0.005917159,TxEx1,hypo
Macropus fuliginosus,Western grey kangaroo,Blood,11.1.3,Diprotodontia,28250.0,0.082191781,2.123287671,23.2,0.071799717,0.217052433,5,TxEx1-,0.587636807,TxEx1,hypo
Macropus giganteus,Eastern grey kangaroo,Blood,11.1.4,Diprotodontia,49500.0,0.098630137,2.642465753,25.0,0.0728,0.532,12,TxEx1-,-0.06868827,TxEx1,hypo
Macropus rufogriseus,Red-necked wallaby,Blood,11.1.6,Diprotodontia,16200.0,0.079452055,1.373972603,15.2,0.132894737,0.634868421,5,TxEx1-,-0.255070581,TxEx1,hypo
Macropus rufus,Red kangaroo,Blood,11.1.7,Diprotodontia,55000.0,0.090410959,1.812328767,25.0,0.0248,0.4692,37,TxEx1-,-0.077745455,TxEx1,hypo
Marmota flaviventris,Yellow-bellied marmot,Blood,9.13.1,Rodentia,3500.0,0.082191781,2.0,21.2,0.000471698,0.567924528,153,TxEx1-,-0.100205069,TxEx1,hypo
Megaptera novaeangliae,Humpback whale,Skin,4.12.3,Artiodactyla,30000000.0,0.936986301,7.96,95.0,0.004210526,0.46,91,TxEx1-,-0.005133046,TxEx1,hypo
Microtus ochrogaster,Prairie vole,Brain,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,TxEx1-,1.332303082,TxEx1,hypo
Microtus ochrogaster,Prairie vole,Liver,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,TxEx1-,-0.51949994,TxEx1,hypo
Microtus ochrogaster,Prairie vole,Skin,9.5.5,Rodentia,40.0,0.063013699,0.128767123,5.3,0.011886792,0.208830189,47,TxEx1-,-0.223475864,TxEx1,hypo
Mirza zaza,Northern giant mouse lemur,Blood&Skin,1.6.3,Primates,302.0,0.245205479,1.1,20.0,0.6425,0.903,3,TxEx1-,-0.276038625,TxEx1,hypo
Molossus molossus,Pallas's mastiff bat,Skin,8.8.2,Chiroptera,14.0,0.295890411,1.166667123,6.0,0.05,0.983333333,14,TxEx1-,-0.248780331,TxEx1,hypo
Monodelphis domestica,Opossum,Liver,10.1.3,Didelphimorphia,105.0,0.04109589,0.334246575,5.1,0.007520816,0.641955412,48,TxEx1-,-0.684157335,TxEx1,hypo
Monodelphis domestica,Opossum,Skin,10.1.3,Didelphimorphia,105.0,0.04109589,0.334246575,5.1,0.007520816,0.434595756,45,TxEx1-,-0.924746994,TxEx1,hypo
Mus musculus,Mouse,Aorta,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.086306099,0.110280015,20,TxEx1-,-3.751241783,TxEx1,hypo
Mus musculus,Mouse,Blood,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.68125,406,TxEx1-,-0.530734849,TxEx1,hypo
Mus musculus,Mouse,Cerebellum,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.020833333,0.5625,128,TxEx1-,0.147919161,TxEx1,hypo
Mus musculus,Mouse,Cortex,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.003767123,0.5625,161,TxEx1-,-0.325745546,TxEx1,hypo
Mus musculus,Mouse,Fibroblast,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.005136986,0.648630137,84,TxEx1-,0.203431326,TxEx1,hypo
Mus musculus,Mouse,Heart,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,-0.004452055,0.546575343,120,TxEx1-,-0.4127522,TxEx1,hypo
Mus musculus,Mouse,HematopoieticStem.Progenitor.LSK,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.090410959,0.568493151,12,TxEx1-,0.528235323,TxEx1,hypo
Mus musculus,Mouse,Hippocampus,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.065688531,0.338991178,18,TxEx1-,-0.236796429,TxEx1,hypo
Mus musculus,Mouse,Kidney,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.038356165,0.561875,52,TxEx1-,-0.325995848,TxEx1,hypo
Mus musculus,Mouse,Liver,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.694672131,597,TxEx1-,-0.165035624,TxEx1,hypo
Mus musculus,Mouse,Lung,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.0625,0.561875,22,TxEx1-,0.376070162,TxEx1,hypo
Mus musculus,Mouse,MacrophagePeritoneal,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.086306099,0.110280015,42,TxEx1-,5.944200011,TxEx1,hypo
Mus musculus,Mouse,Muscle,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.5625,208,TxEx1-,-0.174208371,TxEx1,hypo
Mus musculus,Mouse,Skin,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.625,57,TxEx1-,-0.683614079,TxEx1,hypo
Mus musculus,Mouse,Striatum,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.020833333,0.5625,56,TxEx1-,-0.193846088,TxEx1,hypo
Mus musculus,Mouse,SVZ,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.014395394,0.625,10,TxEx1-,-0.013795261,TxEx1,hypo
Mus musculus,Mouse,Tail,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.395833333,69,TxEx1-,-1.010953682,TxEx1,hypo
Mus musculus,Mouse,WholeBrain,9.9.1,Rodentia,20.5,0.052054795,0.115068493,4.0,0.004794783,0.269925,29,TxEx1-,-0.458135651,TxEx1,hypo
Myotis lucifugus,Little brown bat,Skin,8.7.8,Chiroptera,10.0,0.150684932,0.769,34.0,0.002941176,0.147058824,11,TxEx1-,-0.438090491,TxEx1,hypo
Myotis myotis,Greater mouse-eared bat,Skin,8.7.9,Chiroptera,28.55,0.178082192,1.375342466,37.1,0.026954178,0.242587601,38,TxEx1-,-0.078941229,TxEx1,hypo
Myotis vivesi,Fish-eating bat,Skin,8.7.10,Chiroptera,25.0,0.164383562,1.065753425,10.0,0.01,0.2,17,TxEx1-,-0.779876255,TxEx1,hypo
Nanger dama,Dama gazelle,Blood,4.1.13,Artiodactyla,56900.0,0.569863014,1.5,19.3,0.000425573,0.180442808,8,TxEx1-,-0.579219458,TxEx1,hypo
Nycticebus coucang,Slow loris,Blood&Skin,1.5.2,Primates,890.5,0.515068493,1.583561644,25.8,0.287596899,0.859689922,3,TxEx1-,-0.041516426,TxEx1,hypo
Nycticebus pygmaeus,Pygmy slow loris,Blood,1.5.3,Primates,419.0,0.515068493,0.747945205,20.0,0.035,0.9945,3,TxEx1-,-0.090860297,TxEx1,hypo
Nycticebus pygmaeus,Pygmy slow loris,Blood&Skin,1.5.3,Primates,419.0,0.515068493,0.747945205,20.0,0.035,0.9945,4,TxEx1-,-0.089840086,TxEx1,hypo
Nycticeius humeralis,Evening bat,Muscle,8.7.4,Chiroptera,9.75,0.150684932,0.833334247,6.0,0.0,0.5,24,TxEx1-,-0.294823261,TxEx1,hypo
Odobenus rosmarus divergens,Pacific walrus,Blood,5.7.1,Carnivora,1012500.0,0.906849315,6.0,41.0,6.68e-05,0.992682927,11,TxEx1-,-0.04223474,TxEx1,hypo
Orcinus orca,Killer whale,Blood,4.13.5,Artiodactyla,3987500.0,1.457534247,10.50719178,80.0,0.011806982,0.6775,36,TxEx1-,0.002548697,TxEx1,hypo
Orcinus orca,Killer whale,Skin,4.13.5,Artiodactyla,3987500.0,1.457534247,10.50719178,80.0,0.0,0.95,183,TxEx1-,0.00657797,TxEx1,hypo
Oreamnos americanus,Mountain goat,Skin,4.1.16,Artiodactyla,90000.0,0.504109589,2.498630137,20.8,0.048076923,0.528846154,18,TxEx1-,9.91e-05,TxEx1,hypo
Oryctolagus cuniculus,European rabbit,Blood,3.1.1,Lagomorpha,1800.0,0.082191781,2.0,9.0,0.111111111,0.5,5,TxEx1-,-0.618676921,TxEx1,hypo
Otolemur crassicaudatus,Greater galago,Blood,1.7.2,Primates,1094.5,0.356164384,1.553424658,22.7,0.311894273,0.647136564,3,TxEx1-,0.156148027,TxEx1,hypo
Otolemur crassicaudatus,Greater galago,Blood&Skin,1.7.2,Primates,1094.5,0.356164384,1.553424658,22.7,0.311894273,0.647136564,4,TxEx1-,-0.113868496,TxEx1,hypo
Ovis aries,Sheep,Blood,4.1.17,Artiodactyla,80000.0,0.4,2.002739726,22.8,0.127923977,0.306895711,168,TxEx1-,-0.16294592,TxEx1,hypo
Ovis aries,Sheep,Skin,4.1.17,Artiodactyla,80000.0,0.4,2.002739726,22.8,0.004563085,0.39963015,262,TxEx1-,0.171537174,TxEx1,hypo
Panthera leo nubica,Lion,Blood,5.2.4,Carnivora,175000.0,0.298630137,3.0,27.0,0.046666667,0.475777626,7,TxEx1-,-0.105724594,TxEx1,hypo
Panthera tigris,Tiger,Blood,5.2.5,Carnivora,161914.66,0.287671233,3.675342466,26.3,0.186860919,0.649429658,8,TxEx1-,-0.182575997,TxEx1,hypo
Papio hamadryas,Olive baboon,Adipose,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.199733333,0.609066667,41,TxEx1-,-0.026078692,TxEx1,hypo
Papio hamadryas,Olive baboon,Cerebellum,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.2144,0.609066667,38,TxEx1-,0.020582427,TxEx1,hypo
Papio hamadryas,Olive baboon,Cortex,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,-0.001384335,0.609066667,105,TxEx1-,-0.024737077,TxEx1,hypo
Papio hamadryas,Olive baboon,Heart,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.159466667,0.609066667,47,TxEx1-,0.056640311,TxEx1,hypo
Papio hamadryas,Olive baboon,Liver,1.4.3,Primates,18000.0,0.468493151,4.487671233,37.5,0.159466667,0.609066667,50,TxEx1-,-0.004399071,TxEx1,hypo
Peromyscus californicus,California mouse,Tail,9.5.9,Rodentia,42.0,0.082191781,0.126027397,5.5,0.015090909,0.5,16,TxEx1-,-0.747546927,TxEx1,hypo
Peromyscus eremicus,Cactus mouse,Tail,9.5.10,Rodentia,25.0,0.071232877,0.353424658,7.4,0.021621622,0.359459459,17,TxEx1-,-0.354749412,TxEx1,hypo
Peromyscus leucopus,White-footed mouse,Brain,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.073839662,0.29535865,7,TxEx1-,0.825661576,TxEx1,hypo
Peromyscus leucopus,White-footed mouse,Liver,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.073839662,0.29535865,8,TxEx1-,-0.50792657,TxEx1,hypo
Peromyscus leucopus,White-footed mouse,Tail,9.5.11,Rodentia,23.0,0.071232877,0.2,7.9,0.010506329,0.453164557,16,TxEx1-,-0.396104334,TxEx1,hypo
Peromyscus maniculatus,Eastern deer mouse,Brain,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.070281124,0.291164659,12,TxEx1-,-0.390308532,TxEx1,hypo
Peromyscus maniculatus,Eastern deer mouse,Liver,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.070281124,0.291164659,13,TxEx1-,0.722965397,TxEx1,hypo
Peromyscus maniculatus,Eastern deer mouse,Tail,9.5.12,Rodentia,20.5,0.065753425,0.134246575,8.3,0.01,0.340963855,25,TxEx1-,-0.14921166,TxEx1,hypo
Peromyscus polionotus,Oldfield mouse,Tail,9.5.13,Rodentia,14.0,0.065753425,0.076712329,5.5,0.015090909,0.347272727,16,TxEx1-,-0.269000528,TxEx1,hypo
Phoca vitulina,Harbor seal,Blood,5.9.1,Carnivora,115000.0,0.693150685,3.5,48.0,0.010780287,1.0,57,TxEx1-,-0.041386169,TxEx1,hypo
Phoca vitulina,Harbor seal,Skin,5.9.1,Carnivora,115000.0,0.693150685,3.5,48.0,0.081335616,0.730022831,11,TxEx1-,0.058088918,TxEx1,hypo
Phyllostomus discolor,Pale spear-nosed bat,Skin,8.4.5,Chiroptera,43.4,0.287671233,2.0,18.0,0.0,0.983333333,50,TxEx1-,-0.007045527,TxEx1,hypo
Phyllostomus hastatus,Greater spear-nosed bat,Skin,8.4.6,Chiroptera,81.0,0.328767123,2.0,22.0,0.0,0.75,71,TxEx1-,-0.100980173,TxEx1,hypo
Propithecus coquereli,Coquerel's sifaka,Blood,1.2.3,Primates,4189.27,0.386273973,3.813726027,30.59,0.003269042,0.932330827,3,TxEx1-,-0.069024335,TxEx1,hypo
Propithecus coquereli,Coquerel's sifaka,Blood&Skin,1.2.3,Primates,4189.27,0.386273973,3.813726027,30.59,0.003269042,0.932330827,4,TxEx1-,-0.033587071,TxEx1,hypo
Propithecus diadema,Diademed sifaka,Blood&Skin,1.2.1,Primates,5550.0,0.430136986,2.875342466,21.0,0.675714286,0.888095238,3,TxEx1-,-0.366872822,TxEx1,hypo
Propithecus tattersalli,Golden-crowned sifaka,Blood,1.2.2,Primates,3545.0,0.404109589,4.498630137,26.0,0.135384615,0.978076923,3,TxEx1-,-0.062103626,TxEx1,hypo
Propithecus tattersalli,Golden-crowned sifaka,Blood&Skin,1.2.2,Primates,3545.0,0.404109589,4.498630137,26.0,0.135384615,0.978076923,3,TxEx1-,-0.062103626,TxEx1,hypo
Pteropus hypomelanus,Variable flying fox,Skin,8.5.4,Chiroptera,450.0,0.534246575,1.0,26.5,0.01509434,0.728301887,40,TxEx1-,0.023543323,TxEx1,hypo
Pteropus poliocephalus,Grey-headed flying fox,Skin,8.5.5,Chiroptera,675.0,0.520547945,1.479452055,23.6,0.258474576,0.707627119,16,TxEx1-,0.107149015,TxEx1,hypo
Pteropus pumilus,Little golden-mantled flying fox,Skin,8.5.6,Chiroptera,200.0,0.328767123,0.75,17.3,0.046242775,1.0,46,TxEx1-,-0.01935718,TxEx1,hypo
Pteropus rodricensis,Rodriguez flying fox,Skin,8.5.7,Chiroptera,350.0,0.542465753,1.50000274,28.0,0.142857143,0.746428571,19,TxEx1-,0.005224832,TxEx1,hypo
Pteropus vampyrus,Large flying fox,Skin,8.5.8,Chiroptera,872.0,0.454794521,2.0,24.0,0.025,0.933333333,51,TxEx1-,-0.020377031,TxEx1,hypo
Rattus norvegicus,Brown rat,Adipose,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,38,TxEx1-,-0.114776307,TxEx1,hypo
Rattus norvegicus,Brown rat,Blood,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.010094282,0.605656835,140,TxEx1-,-0.069643474,TxEx1,hypo
Rattus norvegicus,Brown rat,Brain,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,18,TxEx1-,0.034742213,TxEx1,hypo
Rattus norvegicus,Brown rat,Cerebellum,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,39,TxEx1-,-0.083911129,TxEx1,hypo
Rattus norvegicus,Brown rat,Heart,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,30,TxEx1-,-0.391181706,TxEx1,hypo
Rattus norvegicus,Brown rat,Liver,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.030282842,0.605656835,64,TxEx1-,-0.123648416,TxEx1,hypo
Rattus norvegicus,Brown rat,Muscle,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.242105263,0.481578947,6,TxEx1-,-0.947144166,TxEx1,hypo
Rattus norvegicus,Brown rat,Neocortex,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,34,TxEx1-,-0.038552471,TxEx1,hypo
Rattus norvegicus,Brown rat,Ovaries,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,30,TxEx1-,-0.58905109,TxEx1,hypo
Rattus norvegicus,Brown rat,Skin,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,37,TxEx1-,-0.148708132,TxEx1,hypo
Rattus norvegicus,Brown rat,Substantia nigra,9.9.3,Rodentia,300.0,0.057534247,0.219178082,3.8,0.08021699,0.559066251,22,TxEx1-,-0.280936634,TxEx1,hypo
Rhinolophus ferrumequinum,Greater horseshoe bat,Skin,8.6.1,Chiroptera,22.875,0.219178082,2.0,30.5,0.0,0.691803279,40,TxEx1-,-0.060548989,TxEx1,hypo
Rhynchonycteris naso,Proboscis bat,Skin,8.17.2,Chiroptera,3.9,0.405479452,1.5,8.5,0.011764706,0.705882353,22,TxEx1-,0.099717249,TxEx1,hypo
Rousettus aegyptiacus,Egyptian fruit bat,Skin,8.5.9,Chiroptera,125.0,0.317808219,1.0,22.9,0.218340611,0.611353712,16,TxEx1-,0.081674947,TxEx1,hypo
Saccopteryx bilineata,Greater sac-winged bat,Skin,8.17.1,Chiroptera,7.9,0.350684932,1.0,11.0,0.018181818,0.754545455,29,TxEx1-,-0.004294282,TxEx1,hypo
Sarcophilus harrisii,Tasmanian devil,Skin,18.1.1,Dasyuromorphia,8202.25,0.071232877,2.0,13.0,0.038461538,0.615384615,41,TxEx1-,-0.092732944,TxEx1,hypo
Sorex cinereus,Cinereus shrew,Liver,12.3.10,Eulipotyphla,4.3,0.052054795,0.421917808,1.9,0.175438596,0.657894737,11,TxEx1-,-1.356835474,TxEx1,hypo
Sorex cinereus,Cinereus shrew,Tail,12.3.10,Eulipotyphla,4.3,0.052054795,0.421917808,1.9,0.087719298,0.701754386,33,TxEx1-,-0.318908742,TxEx1,hypo
Steno bredanensis,Rough-toothed dolphin,Blood,4.13.10,Artiodactyla,114000.0,1.030136986,10.0,32.0,0.145106092,0.746321013,6,TxEx1-,-0.112843257,TxEx1,hypo
Steno bredanensis,Rough-toothed dolphin,Skin,4.13.10,Artiodactyla,114000.0,1.030136986,10.0,32.0,0.145448323,0.746663244,6,TxEx1-,-0.036908034,TxEx1,hypo
Sus scrofa domesticus,Pig,Bladder,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,15,TxEx1-,-0.044566254,TxEx1,hypo
Sus scrofa domesticus,Pig,Blood,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.001310304,0.272185825,98,TxEx1-,-0.301018847,TxEx1,hypo
Sus scrofa domesticus,Pig,FrontalCortex,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,TxEx1-,-0.311313129,TxEx1,hypo
Sus scrofa domesticus,Pig,Kidney,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,TxEx1-,-0.061455832,TxEx1,hypo
Sus scrofa domesticus,Pig,Liver,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,16,TxEx1-,-0.426952585,TxEx1,hypo
Sus scrofa domesticus,Pig,Lung,4.7.1,Artiodactyla,350000.0,0.315068493,0.458334,23.0,0.003454437,0.172364503,15,TxEx1-,-0.056994373,TxEx1,hypo
Sus scrofa minusculus,Winsconsin miniature pig,Blood,4.7.2,Artiodactyla,100000.0,0.315068493,0.458334,23.0,0.000952948,0.223942823,60,TxEx1-,0.007680671,TxEx1,hypo
Tachyglossus aculeatus,Short-beaked echidna,Blood,21.2.1,Monotremata,3500.0,0.091780822,1.501369863,49.5,0.008417508,0.21010101,5,TxEx1-,-0.176424365,TxEx1,hypo
Tadarida brasiliensis,Mexican free-tailed bat,Skin,8.8.3,Chiroptera,12.5,0.21369863,1.123287671,12.0,0.016666667,0.516666667,19,TxEx1-,-0.173751733,TxEx1,hypo
Tragelaphus angasii,Nyala,Blood,4.1.19,Artiodactyla,120000.0,0.61369863,1.238356164,18.5,0.116105146,0.591188449,5,TxEx1-,-0.02632466,TxEx1,hypo
Tragelaphus eurycerus,Bongo,Blood,4.1.20,Artiodactyla,307500.0,0.789041096,2.356164384,21.9,0.000375048,0.657209205,5,TxEx1-,-0.116072427,TxEx1,hypo
Tragelaphus imberbis,Lesser kudu,Blood,4.1.21,Artiodactyla,82500.0,0.643835616,1.380821918,19.8,0.000553101,0.579096924,7,TxEx1-,-0.107988674,TxEx1,hypo
Tragelaphus strepsiceros,Greater kudu,Blood,4.1.23,Artiodactyla,217500.0,0.624657534,1.416438356,23.5,0.01106383,0.595744681,9,TxEx1-,-0.155621418,TxEx1,hypo
Trichechus manatus,West Indian manatee,Blood,14.1.1,Sirenia,467324.83,0.917808219,3.001369863,69.0,0.017391304,0.494955808,9,TxEx1-,-0.084502144,TxEx1,hypo
Tupaia longipes,Long-footed treeshrew,Skin,17.1.3,Scandentia,164.1,0.128757991,0.310787671,12.0,0.066666667,0.25,10,TxEx1-,0.737514418,TxEx1,hypo
Tupaia tana,Large treeshrew,Skin,17.1.4,Scandentia,197.8,0.128757991,0.310787671,11.6,0.086206897,0.25862069,27,TxEx1-,0.026244884,TxEx1,hypo
Tursiops aduncus,Indo-Pacific bottlenose dolphin,Skin,4.13.9,Artiodactyla,130000.0,1.0,6.75,49.0,0.06122449,0.755102041,44,TxEx1-,0.012669637,TxEx1,hypo
Tursiops truncatus,Bottlenose dolphin,Blood,4.13.6,Artiodactyla,200000.0,1.030136986,8.931506849,67.0,0.00854046,0.863731343,143,TxEx1-,-0.020634756,TxEx1,hypo
Tursiops truncatus,Bottlenose dolphin,Skin,4.13.6,Artiodactyla,200000.0,1.030136986,8.931506849,67.0,0.011641791,0.863731343,115,TxEx1-,0.008341566,TxEx1,hypo
Varecia rubra,Red ruffed lemur,Blood,1.3.14,Primates,3601.3,0.268493151,1.724657534,37.5,0.010133333,0.929333333,3,TxEx1-,-0.051049335,TxEx1,hypo
Varecia rubra,Red ruffed lemur,Blood&Skin,1.3.14,Primates,3601.3,0.268493151,1.724657534,37.5,0.010133333,0.929333333,4,TxEx1-,-0.029377176,TxEx1,hypo
Varecia variegata,Black and white ruffed lemur,Blood,1.3.13,Primates,3482.3,0.268493151,1.717808219,39.4,0.021827411,0.999746193,3,TxEx1-,-0.012234747,TxEx1,hypo
Varecia variegata,Black and white ruffed lemur,Blood&Skin,1.3.13,Primates,3482.3,0.268493151,1.717808219,39.4,0.021827411,0.999746193,4,TxEx1-,-0.00089388,TxEx1,hypo
Vicugna pacos,Alpaca,Blood,4.2.1,Artiodactyla,62000.0,0.945205479,1.276712329,25.8,0.064599483,0.581395349,5,TxEx1-,-0.020408985,TxEx1,hypo
Zalophus californianus,California sea lion,Blood,5.8.3,Carnivora,180000.0,0.709589041,4.001369863,35.7,0.000230071,0.850574316,69,TxEx1-,-0.03230106,TxEx1,hypo
