SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,state,arocm,state_base,direction
Delphinapterus leucas,Beluga whale,Skin,4.19.1,Artiodactyla,1430000.0,1.279452055,11.00753425,50.0,-0.02,0.984164384,118,TxEx2-,-0.028812516,TxEx2,hypo
Desmodus rotundus,Common vampire bat,Skin,8.4.3,Chiroptera,33.2,0.517808219,0.780821918,29.9,0.010033445,0.578595318,44,TxEx2-,-0.08135777,TxEx2,hypo
Diceros bicornis,Eastern black rhinoceros,Blood,6.2.2,Perissodactyla,1100000.0,1.298630137,5.589041096,49.0,0.196119516,0.632040816,5,TxEx2-,-0.065334493,TxEx2,hypo
Eidolon helvum,Straw-colored fruit bat,Skin,8.5.2,Chiroptera,306.25,0.753424658,1.75000274,21.8,0.155963303,0.756880734,24,TxEx2-,0.025089422,TxEx2,hypo
Elephas maximus,Asian elephant,Blood,2.1.1,Proboscidea,3178000.0,1.764383562,9.005479452,88.0,0.026805729,0.83620797,83,TxEx2-,-0.01182461,TxEx2,hypo
Eptesicus fuscus,Big brown bat,Muscle,8.7.2,Chiroptera,23.0,0.164383562,1.749315068,23.0,0.013043478,0.147826087,6,TxEx2-,0.535879191,TxEx2,hypo
Eptesicus fuscus,Big brown bat,Skin,8.7.2,Chiroptera,23.0,0.164383562,1.749315068,23.0,0.013043478,0.795652174,70,TxEx2-,0.001115725,TxEx2,hypo
Equus africanus somaliensis,Somali wild ass,Blood,6.1.4,Perissodactyla,250000.0,1.006849315,1.75,47.0,0.050562861,0.213435857,7,TxEx2-,-0.319424678,TxEx2,hypo
Equus caballus,Horse,Blood,6.1.1,Perissodactyla,300000.0,0.923287671,2.584931507,57.0,8.77e-05,0.49122807,210,TxEx2-,0.000819088,TxEx2,hypo
Equus caballus,Horse,Liver,6.1.1,Perissodactyla,300000.0,0.923287671,2.584931507,57.0,0.000730994,0.50877193,48,TxEx2-,0.01337288,TxEx2,hypo
Equus quagga,Zebra,Blood,6.1.3,Perissodactyla,280000.0,1.0,2.465753425,38.0,0.004109589,0.531795242,76,TxEx2-,-0.148499334,TxEx2,hypo
Equus quagga,Zebra,Skin,6.1.3,Perissodactyla,280000.0,1.0,2.465753425,38.0,0.004253684,0.651838421,20,TxEx2-,-0.006139507,TxEx2,hypo
Eulemur albifrons,White-headed lemur,Blood&Skin,1.3.1,Primates,2231.59,0.328767123,2.657534247,34.59,0.568083261,1.0,3,TxEx2-,-0.061363417,TxEx2,hypo
Eulemur collaris,Collared brown lemur,Blood,1.3.7,Primates,2333.61,0.336986301,2.073972599,37.0,0.022702703,0.914324324,3,TxEx2-,-0.056646342,TxEx2,hypo
Eulemur collaris,Collared brown lemur,Blood&Skin,1.3.7,Primates,2333.61,0.336986301,2.073972599,37.0,0.022702703,0.914324324,4,TxEx2-,-0.053415999,TxEx2,hypo
Eulemur coronatus,Crowned lemur,Blood&Skin,1.3.2,Primates,1645.0,0.345205479,1.665753425,30.0,0.032666667,0.636666667,3,TxEx2-,-0.095810218,TxEx2,hypo
Eulemur flavifrons,Blue-eyed black lemur,Blood,1.3.8,Primates,2433.0,0.347945205,2.1,32.0,0.01,0.85625,3,TxEx2-,-0.073847038,TxEx2,hypo
Eulemur flavifrons,Blue-eyed black lemur,Blood&Skin,1.3.8,Primates,2433.0,0.347945205,2.1,32.0,0.01,0.85625,4,TxEx2-,-0.047872856,TxEx2,hypo
Eulemur macaco,Black lemur,Blood,1.3.4,Primates,2467.0,0.328767123,1.104109589,37.5,0.253866667,0.919466667,3,TxEx2-,0.03135342,TxEx2,hypo
Eulemur macaco,Black lemur,Blood&Skin,1.3.4,Primates,2467.0,0.328767123,1.104109589,37.5,0.253866667,0.919466667,4,TxEx2-,-0.028280833,TxEx2,hypo
Eulemur mongoz,Mongoose lemur,Blood,1.3.5,Primates,1555.0,0.328767123,2.349315068,36.2,0.022651934,0.85,3,TxEx2-,-0.062452838,TxEx2,hypo
Eulemur mongoz,Mongoose lemur,Blood&Skin,1.3.5,Primates,1555.0,0.328767123,2.349315068,36.2,0.022651934,0.85,4,TxEx2-,-0.047817417,TxEx2,hypo
Eulemur rubriventer,Red-bellied lemur,Blood,1.3.6,Primates,2191.5,0.328767123,2.734246575,34.0,0.231470588,0.995294118,3,TxEx2-,-0.052281207,TxEx2,hypo
Eulemur rubriventer,Red-bellied lemur,Blood&Skin,1.3.6,Primates,2191.5,0.328767123,2.734246575,34.0,0.231470588,0.995294118,4,TxEx2-,-0.05162177,TxEx2,hypo
Eulemur sanfordi,Sanford's brown lemur,Blood,1.3.10,Primates,2111.34,0.328767123,1.819178082,32.94,0.286581664,1.0,3,TxEx2-,-0.067289573,TxEx2,hypo
