SpeciesLatinName,SpeciesCommonName,Tissue,MammalNumberHorvath,Order,adult_mass_g,gestation_y,maturity_y,max_lifespan_y,age_range_lo,age_range_hi,n_samples,TxEx2-,BivProm2+,BivProm2-,ReprPC1+,ReprPC1-,BivProm1+,BivProm1-,EnhWk4-,TxEx1-,PromF5+,PromF5-,TxEnh4-,TxEx3-,EnhA17-,BivProm4+,BivProm4-,Tx7-,PromF4+,PromF4-,TxEnh5-,TxWk2-,BivProm3+,BivProm3-,EnhA2-,TxWk1-,TSS1+,TSS1-,EnhWk8-,EnhA6-,EnhWk3-,Tx6-,Tx5-,TSS2+,TSS2-,Tx8-,ReprPC4-,Quies3-,ReprPC2+,ReprPC2-,ReprPC6-,ReprPC3-,EnhA18-,PromF3+,PromF3-,TxEx4-,ReprPC5-,TxEnh8-,ReprPC7-,EnhA19-,Tx4-,PromF2+,Quies1-,Acet2-,PromF1+
Bos taurus,Cattle,Oocyte,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.042682048,0.289185292,80,0.052637543,0.084112617,0.089547267,0.055640739,0.028140308,0.140490647,0.08642085,0.075483157,0.081810069,0.048860446,0.028409761,0.087046935,0.097820223,0.103613277,0.046080245,0.013061661,0.083744711,-0.049268537,0.019773348,0.103835571,0.065901147,0.103029469,0.091193296,0.035478936,0.083726446,0.039889364,-0.05743465,0.059389774,0.068017606,0.137806891,0.081180732,0.097283811,0.011054618,0.065123155,0.065913901,0.060303243,0.077293242,0.041866043,0.077853398,0.068652578,0.078262147,0.115793536,-0.011956153,-0.081884944,0.084546954,0.089923414,0.076934959,0.093855125,0.12797719,0.106473212,-0.103963568,0.055977262,0.067217861,0.138626641
Bos taurus,Cattle,Skin,4.1.4,Artiodactyla,750000.0,0.75890411,1.501369863,38.0,0.045710166,0.207858688,95,0.018270441,0.28325522,0.142528664,0.215264912,0.114589923,0.293453061,0.296771456,-0.007585469,0.003967587,0.002127675,0.209019714,0.036683727,0.038100164,0.005953526,0.005319107,-0.100464142,-0.002999342,-0.170428053,-0.154017583,0.07144514,0.068154886,0.245332492,0.12933595,-0.160071802,0.030873788,0.002602877,-0.113748955,-0.007477224,-0.026816279,-0.038521864,-0.003463851,0.017608631,0.038124301,-0.066003105,0.005079943,-0.112293481,-0.024550693,0.297001569,0.025030124,-0.051873741,-0.019587498,-0.020918206,0.029680397,-0.05618758,-0.014517959,0.036707919,0.06246516,0.010030558,0.130297312,-0.011776586,-0.033179322,-0.020067092,-0.089057626,0.1263816
Callithrix jacchus,Common marmoset,Blood,1.8.2,Primates,255.2,0.394520548,1.176712329,22.8,0.021929825,0.683333333,95,-0.045513568,0.197598886,0.174733954,0.181357179,0.159265508,0.171902626,0.102211137,-0.044738264,-0.038220018,0.154216456,0.149383315,-0.038731015,-0.019656788,-0.000308621,0.091942486,0.026053062,-0.005471164,0.003089062,-0.041561035,-0.042488479,-0.032537349,0.186574408,0.096475742,-0.049995718,-0.029731429,0.052766647,-0.03210206,-0.041093185,-0.03482199,-0.053834213,0.00756963,-0.036572689,0.114878495,0.097175518,-0.024516776,-0.042055986,-0.045791349,0.180268301,0.03598441,-0.041870737,-0.038874936,0.031164514,0.07744714,0.037162308,-0.146954361,0.054052014,-0.072377317,-0.004887978,0.023444005,-0.019290347,0.09610905,-0.053996064,-0.035476953,0.092513457
Canis lupus familiaris,Dog,Blood,5.1.1,Carnivora,26625.0,0.169863014,1.832876712,24.0,0.004166667,0.729166667,742,-0.094456388,0.189961192,0.142265136,0.179375757,0.156258723,0.164973376,0.104879757,-0.103861955,-0.097489247,0.109478201,0.080795431,-0.110593331,-0.107234222,-0.101991784,0.027882721,-0.004945992,-0.060250532,0.010240177,0.005375817,-0.125059816,-0.111142853,0.169202783,0.056708078,-0.122356896,-0.096050642,0.035816032,0.014978144,-0.116601937,-0.096697052,-0.112267407,-0.039051082,-0.097450499,0.048293903,0.060392672,-0.100014045,-0.107274319,-0.103123856,0.171610799,0.0574652,-0.074632319,-0.06187954,-0.031456291,0.048542114,-4.33e-05,-0.140002886,0.033342978,-0.121406031,-0.068861694,-0.038909035,-0.058362428,-0.047433351,-0.108892959,-0.106109054,0.085707744
Capra hircus,Domestic goat,Skin,4.1.5,Artiodactyla,61000.0,0.424657534,1.494520548,20.8,0.043993678,0.410958904,78,0.137623451,0.290502545,0.180543091,0.219499534,0.24108046,0.323779794,0.221643319,-0.110931677,0.279045824,0.199419727,0.118728421,0.233391941,0.097083911,-0.064785005,0.13276708,0.036321001,0.113018083,-0.120109805,0.056637627,0.160330896,-0.029678052,0.293538521,0.120784816,-0.144354673,-0.001488428,-0.066056416,0.134298352,-0.158437638,-0.112945257,-0.029665746,0.112683522,0.15122419,0.128206053,0.145921908,-0.04609794,-0.065934914,-0.047372453,0.158432714,0.036679274,0.083152684,0.051739488,-0.030110435,0.151575559,-0.095746021,0.22287656,0.115150768,0.197402855,0.104952796,0.05322778,0.152613454,0.156326452,-0.053899018,0.044187885,-0.137390069
Capreolus capreolus,Roe deer,Blood,4.3.1,Artiodactyla,21666.7,0.419178082,1.463013699,17.5,0.038095238,0.780952381,188,-0.149845003,0.225879174,0.224464704,0.216522021,0.175991911,0.235763697,0.224940078,-0.054052494,-0.194933311,0.236318445,0.202105439,-0.194786733,-0.181843154,-0.050983287,0.203496571,-0.03178223,-0.131313411,0.174243551,0.119311558,-0.118588704,-0.089278715,0.23615464,0.115259902,-0.140456029,-0.086505939,0.244198565,0.064740958,-0.088550098,-0.069147408,-0.1017876,-0.101037727,-0.069765467,0.222559846,0.175656227,-0.104587189,-0.051805681,-0.078070477,0.212489135,0.07420713,-0.058780644,-0.048109248,-0.000727182,0.209842981,0.006681907,-0.150719025,-0.017169839,-0.217472437,-0.05072765,0.045150105,-0.156358216,0.046427265,-0.042895947,-0.063051921,0.046147345
Carollia perspicillata,Seba's short-tailed bat,Skin,8.4.2,Chiroptera,15.0,0.260273973,0.74,17.0,0.011764706,0.617647059,32,-0.055386878,0.231309955,0.18318047,0.227532647,0.194829309,0.219646606,0.2041502,-0.18911555,0.023052405,0.202936793,0.172425628,0.063834888,-0.106584922,-0.142095938,0.045030822,0.030029042,0.04564882,-0.046293393,0.003175086,-0.102367158,-0.167503189,0.157533515,-0.074259694,-0.073594317,-0.111250701,0.002396458,0.073730505,-0.133153916,-0.133385086,-0.11342231,0.035215558,-0.126797883,0.155614975,0.151743214,-0.100389505,-0.181508934,-0.19396005,0.148135908,-0.094133822,-0.181296409,-0.15661718,-0.116323965,0.02804464,-0.035957937,0.075514274,-0.070630127,0.111817322,-0.177900959,0.076886986,0.045026585,0.020234334,-0.191315756,-0.192009644,-0.134630678
Ceratotherium simum simum,White rhino,Blood,6.2.1,Perissodactyla,2175000.0,1.410958904,4.501369863,45.0,0.00699673,0.659213628,23,-0.080395602,0.082759187,0.071300015,0.070975299,0.050917275,0.090185809,0.073611228,-0.09201917,-0.087647943,0.085800464,0.074873408,-0.072066532,-0.070521293,-0.090476678,0.05903466,-0.084803542,-0.078539907,-0.002544156,-0.007562797,-0.088366117,-0.086984168,0.086215578,-0.067168212,-0.091798181,-0.088304028,0.07693426,-0.002794384,-0.085804407,-0.090816367,-0.086540171,-0.075230239,-0.03873231,0.08515469,0.062385423,-0.086337288,-0.084934444,-0.090269679,0.040856883,-0.072525122,-0.087135393,-0.086901515,-0.08341345,0.062998611,-0.021713319,-0.086381507,-0.071719531,-0.090909431,-0.070824516,-0.078912771,-0.085503611,-0.013178596,-0.086896536,-0.088680743,-0.001847952
Cervus canadensis,Wapity elk,Blood,4.3.5,Artiodactyla,280093.29,0.687671233,2.0,25.0,0.003835616,0.547068493,42,-0.094165539,0.154880481,0.118484255,0.123165083,0.130818282,0.167595052,0.141028647,-0.034280905,-0.03398003,0.122090237,0.153457815,0.085366334,-0.059786195,0.054864702,0.112306457,0.091392045,-0.065207051,-0.106664996,0.051202302,0.081083261,-0.033303455,0.161802121,0.111619383,0.070081982,-0.043130466,-0.125224122,0.10073654,-0.036358433,0.024010969,0.104407728,-0.052037493,-0.010886175,0.069527974,0.093016311,-0.053793195,-0.048812042,-0.072687682,0.113704599,0.07462396,0.035074474,0.0287482,0.052380419,0.013489027,0.017920782,-0.051240869,0.106446102,-0.025140679,0.109683003,0.178280689,-0.038926265,0.101980536,-0.066698382,0.009603671,-0.020059734
Cervus elaphus,Red deer,Blood,4.3.2,Artiodactyla,200000.0,0.671232877,2.167123288,31.5,0.002696238,0.344161774,53,-0.05141258,0.173553717,0.108420064,0.180121111,0.197112925,0.180806256,0.140013618,0.055310724,0.027739636,0.095975191,0.146668724,0.107048276,0.008530137,0.134128104,0.163455661,0.091243952,-0.020228005,-0.08044121,-0.017023412,0.13708031,0.031806121,0.206357443,0.116680274,0.04287428,0.003757135,-0.025273674,0.086270948,0.036074614,0.081698296,0.12752742,-0.019761161,0.058091807,0.111948386,0.084515053,0.025045731,0.074793178,-0.03213708,0.154680359,0.165076066,0.094813853,0.110798901,0.094989213,0.041131752,-0.055121849,0.038575306,0.157545136,0.033471445,0.092656886,0.216642932,0.014340093,0.105264251,-0.014780625,0.031774129,-0.027892334
